object_id	name	schema_id	type	type_desc	create_date	modify_date
3	sysrscols	4	S 	SYSTEM_TABLE	2013-06-10 22:03:13.790	2013-06-10 22:03:13.800
5	sysrowsets	4	S 	SYSTEM_TABLE	2009-04-13 12:59:11.093	2013-06-10 22:03:15.963
6	sysclones	4	S 	SYSTEM_TABLE	2013-06-10 22:03:15.247	2013-06-10 22:03:15.253
7	sysallocunits	4	S 	SYSTEM_TABLE	2009-04-13 12:59:11.077	2013-06-10 22:03:13.843
8	sysfiles1	4	S 	SYSTEM_TABLE	2003-04-08 09:13:38.093	2003-04-08 09:13:38.093
9	sysseobjvalues	4	S 	SYSTEM_TABLE	2013-06-10 22:03:16.200	2013-06-10 22:03:16.207
17	syspriorities	4	S 	SYSTEM_TABLE	2013-06-10 22:03:14.493	2013-06-10 22:03:14.507
18	sysdbfrag	4	S 	SYSTEM_TABLE	2013-06-10 22:03:15.910	2013-06-10 22:03:15.920
19	sysfgfrag	4	S 	SYSTEM_TABLE	2013-06-10 22:03:13.500	2013-06-10 22:03:13.563
20	sysdbfiles	4	S 	SYSTEM_TABLE	2013-06-10 22:03:15.003	2013-06-10 22:03:15.010
21	syspru	4	S 	SYSTEM_TABLE	2013-06-10 22:03:15.917	2013-06-10 22:03:15.923
22	sysbrickfiles	4	S 	SYSTEM_TABLE	2013-06-10 22:03:15.920	2013-06-10 22:03:15.927
23	sysphfg	4	S 	SYSTEM_TABLE	2013-06-10 22:03:13.560	2013-06-10 22:03:13.567
24	sysprufiles	4	S 	SYSTEM_TABLE	2013-06-10 22:03:13.563	2013-06-10 22:03:13.573
25	sysftinds	4	S 	SYSTEM_TABLE	2009-04-13 12:59:11.390	2013-06-10 22:03:13.497
27	sysowners	4	S 	SYSTEM_TABLE	2009-04-13 12:59:11.373	2013-06-10 22:03:15.443
28	sysdbreg	4	S 	SYSTEM_TABLE	2013-06-10 22:03:15.800	2013-06-10 22:03:15.813
29	sysprivs	4	S 	SYSTEM_TABLE	2009-04-13 12:59:10.983	2009-04-13 12:59:10.983
34	sysschobjs	4	S 	SYSTEM_TABLE	2009-04-13 12:59:11.170	2013-06-10 22:03:15.740
35	syscsrowgroups	4	S 	SYSTEM_TABLE	2013-06-10 22:03:16.580	2013-06-10 22:03:16.647
37	sysexttables	4	S 	SYSTEM_TABLE	2014-07-03 07:53:59.380	2014-07-03 07:53:59.400
41	syscolpars	4	S 	SYSTEM_TABLE	2009-04-13 12:59:11.310	2013-06-10 22:03:13.483
42	sysxlgns	4	S 	SYSTEM_TABLE	2013-06-10 22:03:15.900	2013-06-10 22:03:15.913
43	sysxsrvs	4	S 	SYSTEM_TABLE	2013-06-10 22:03:15.907	2013-06-10 22:03:15.917
44	sysnsobjs	4	S 	SYSTEM_TABLE	2009-04-13 12:59:11.200	2009-04-13 12:59:11.200
45	sysusermsgs	4	S 	SYSTEM_TABLE	2013-06-10 22:03:15.820	2013-06-10 22:03:15.900
46	syscerts	4	S 	SYSTEM_TABLE	2009-04-13 12:59:13.013	2013-06-10 22:03:16.100
47	sysrmtlgns	4	S 	SYSTEM_TABLE	2013-06-10 22:03:15.817	2013-06-10 22:03:15.823
48	syslnklgns	4	S 	SYSTEM_TABLE	2013-06-10 22:03:15.813	2013-06-10 22:03:15.820
49	sysxprops	4	S 	SYSTEM_TABLE	2009-04-13 12:59:11.500	2009-04-13 12:59:11.500
50	sysscalartypes	4	S 	SYSTEM_TABLE	2009-04-13 12:59:10.950	2009-04-13 12:59:10.950
51	systypedsubobjs	4	S 	SYSTEM_TABLE	2009-04-13 12:59:11.343	2009-04-13 12:59:11.343
54	sysidxstats	4	S 	SYSTEM_TABLE	2009-04-13 12:59:11.360	2009-04-13 12:59:11.360
55	sysiscols	4	S 	SYSTEM_TABLE	2009-04-13 12:59:11.360	2013-06-10 22:03:15.297
56	sysendpts	4	S 	SYSTEM_TABLE	2013-06-10 22:03:15.807	2013-06-10 22:03:15.817
