name	tablename	schemaname
bitpos	sysrscols	sys
cid	sysrscols	sys
colguid	sysrscols	sys
hbcolid	sysrscols	sys
maxinrowlen	sysrscols	sys
nullbit	sysrscols	sys
offset	sysrscols	sys
ordkey	sysrscols	sys
rcmodified	sysrscols	sys
rscolid	sysrscols	sys
rsid	sysrscols	sys
status	sysrscols	sys
ti	sysrscols	sys
cmprlevel	sysrowsets	sys
fgidfs	sysrowsets	sys
fillfact	sysrowsets	sys
idmajor	sysrowsets	sys
idminor	sysrowsets	sys
lockres	sysrowsets	sys
maxint	sysrowsets	sys
maxleaf	sysrowsets	sys
maxnullbit	sysrowsets	sys
minint	sysrowsets	sys
minleaf	sysrowsets	sys
numpart	sysrowsets	sys
ownertype	sysrowsets	sys
rcrows	sysrowsets	sys
rowsetid	sysrowsets	sys
rsguid	sysrowsets	sys
scope_id	sysrowsets	sys
status	sysrowsets	sys
cloneid	sysclones	sys
dbfragid	sysclones	sys
id	sysclones	sys
partid	sysclones	sys
rowsetid	sysclones	sys
segid	sysclones	sys
status	sysclones	sys
subid	sysclones	sys
version	sysclones	sys
auid	sysallocunits	sys
fgid	sysallocunits	sys
ownerid	sysallocunits	sys
pcdata	sysallocunits	sys
pcreserved	sysallocunits	sys
pcused	sysallocunits	sys
pgfirst	sysallocunits	sys
pgfirstiam	sysallocunits	sys
pgroot	sysallocunits	sys
status	sysallocunits	sys
type	sysallocunits	sys
fileid	sysfiles1	sys
filename	sysfiles1	sys
name	sysfiles1	sys
status	sysfiles1	sys
id	sysseobjvalues	sys
imageval	sysseobjvalues	sys
subid	sysseobjvalues	sys
valclass	sysseobjvalues	sys
valnum	sysseobjvalues	sys
value	sysseobjvalues	sys
local_service_id	syspriorities	sys
name	syspriorities	sys
priority	syspriorities	sys
priority_id	syspriorities	sys
remote_service_name	syspriorities	sys
service_contract_id	syspriorities	sys
brickid	sysdbfrag	sys
dbid	sysdbfrag	sys
fragid	sysdbfrag	sys
name	sysdbfrag	sys
pruid	sysdbfrag	sys
status	sysdbfrag	sys
dbfragid	sysfgfrag	sys
fgfragid	sysfgfrag	sys
fgid	sysfgfrag	sys
phfgid	sysfgfrag	sys
status	sysfgfrag	sys
dbfragid	sysdbfiles	sys
fileguid	sysdbfiles	sys
fileid	sysdbfiles	sys
pname	sysdbfiles	sys
brickid	syspru	sys
dbid	syspru	sys
fragid	syspru	sys
pruid	syspru	sys
status	syspru	sys
backuplsn	sysbrickfiles	sys
brickid	sysbrickfiles	sys
createlsn	sysbrickfiles	sys
dbid	sysbrickfiles	sys
diffbaseguid	sysbrickfiles	sys
diffbaselsn	sysbrickfiles	sys
diffbaseseclsn	sysbrickfiles	sys
diffbasetime	sysbrickfiles	sys
droplsn	sysbrickfiles	sys
fileguid	sysbrickfiles	sys
fileid	sysbrickfiles	sys
filestate	sysbrickfiles	sys
filetype	sysbrickfiles	sys
firstupdatelsn	sysbrickfiles	sys
forkguid	sysbrickfiles	sys
forklsn	sysbrickfiles	sys
forkvc	sysbrickfiles	sys
growth	sysbrickfiles	sys
grpid	sysbrickfiles	sys
internalstatus	sysbrickfiles	sys
lastupdatelsn	sysbrickfiles	sys
lname	sysbrickfiles	sys
maxsize	sysbrickfiles	sys
pname	sysbrickfiles	sys
pruid	sysbrickfiles	sys
readonlybaselsn	sysbrickfiles	sys
readonlylsn	sysbrickfiles	sys
readwritelsn	sysbrickfiles	sys
redostartforkguid	sysbrickfiles	sys
redostartlsn	sysbrickfiles	sys
redotargetlsn	sysbrickfiles	sys
size	sysbrickfiles	sys
status	sysbrickfiles	sys
dbfragid	sysphfg	sys
fgguid	sysphfg	sys
fgid	sysphfg	sys
lgfgid	sysphfg	sys
name	sysphfg	sys
phfgid	sysphfg	sys
status	sysphfg	sys
type	sysphfg	sys
backuplsn	sysprufiles	sys
createlsn	sysprufiles	sys
dbfragid	sysprufiles	sys
diffbaseguid	sysprufiles	sys
diffbaselsn	sysprufiles	sys
diffbaseseclsn	sysprufiles	sys
diffbasetime	sysprufiles	sys
droplsn	sysprufiles	sys
fileguid	sysprufiles	sys
fileid	sysprufiles	sys
filestate	sysprufiles	sys
filetype	sysprufiles	sys
firstupdatelsn	sysprufiles	sys
forkguid	sysprufiles	sys
forklsn	sysprufiles	sys
forkvc	sysprufiles	sys
growth	sysprufiles	sys
grpid	sysprufiles	sys
internalstatus	sysprufiles	sys
lastupdatelsn	sysprufiles	sys
lname	sysprufiles	sys
maxsize	sysprufiles	sys
pname	sysprufiles	sys
readonlybaselsn	sysprufiles	sys
readonlylsn	sysprufiles	sys
readwritelsn	sysprufiles	sys
redostartforkguid	sysprufiles	sys
redostartlsn	sysprufiles	sys
redotargetlsn	sysprufiles	sys
size	sysprufiles	sys
status	sysprufiles	sys
batchsize	sysftinds	sys
bXVTDocidUseBaseT	sysftinds	sys
crend	sysftinds	sys
crerrors	sysftinds	sys
crrows	sysftinds	sys
crschver	sysftinds	sys
crstart	sysftinds	sys
crtsnext	sysftinds	sys
crtype	sysftinds	sys
fgid	sysftinds	sys
id	sysftinds	sys
indid	sysftinds	sys
nextdocid	sysftinds	sys
sensitivity	sysftinds	sys
status	sysftinds	sys
created	sysowners	sys
deflanguage	sysowners	sys
dfltsch	sysowners	sys
id	sysowners	sys
modified	sysowners	sys
name	sysowners	sys
password	sysowners	sys
sid	sysowners	sys
status	sysowners	sys
type	sysowners	sys
category	sysdbreg	sys
cmptlevel	sysdbreg	sys
crdate	sysdbreg	sys
id	sysdbreg	sys
modified	sysdbreg	sys
name	sysdbreg	sys
scope	sysdbreg	sys
sid	sysdbreg	sys
status	sysdbreg	sys
status2	sysdbreg	sys
svcbrkrguid	sysdbreg	sys
class	sysprivs	sys
grantee	sysprivs	sys
grantor	sysprivs	sys
id	sysprivs	sys
state	sysprivs	sys
subid	sysprivs	sys
type	sysprivs	sys
created	sysschobjs	sys
id	sysschobjs	sys
intprop	sysschobjs	sys
modified	sysschobjs	sys
name	sysschobjs	sys
nsclass	sysschobjs	sys
nsid	sysschobjs	sys
pclass	sysschobjs	sys
pid	sysschobjs	sys
status	sysschobjs	sys
status2	sysschobjs	sys
type	sysschobjs	sys
ds_hobtid	syscsrowgroups	sys
flags	syscsrowgroups	sys
hobt_id	syscsrowgroups	sys
row_count	syscsrowgroups	sys
segment_id	syscsrowgroups	sys
status	syscsrowgroups	sys
version	syscsrowgroups	sys
data_source_id	sysexttables	sys
file_format_id	sysexttables	sys
location	sysexttables	sys
object_id	sysexttables	sys
reject_sample_value	sysexttables	sys
reject_type	sysexttables	sys
reject_value	sysexttables	sys
chk	syscolpars	sys
colid	syscolpars	sys
collationid	syscolpars	sys
dflt	syscolpars	sys
id	syscolpars	sys
idtval	syscolpars	sys
length	syscolpars	sys
maxinrow	syscolpars	sys
name	syscolpars	sys
number	syscolpars	sys
prec	syscolpars	sys
scale	syscolpars	sys
status	syscolpars	sys
utype	syscolpars	sys
xmlns	syscolpars	sys
xtype	syscolpars	sys
crdate	sysxlgns	sys
dbname	sysxlgns	sys
id	sysxlgns	sys
lang	sysxlgns	sys
modate	sysxlgns	sys
name	sysxlgns	sys
pwdhash	sysxlgns	sys
sid	sysxlgns	sys
status	sysxlgns	sys
type	sysxlgns	sys
catalog	sysxsrvs	sys
cid	sysxsrvs	sys
connecttimeout	sysxsrvs	sys
id	sysxsrvs	sys
modate	sysxsrvs	sys
name	sysxsrvs	sys
product	sysxsrvs	sys
provider	sysxsrvs	sys
querytimeout	sysxsrvs	sys
status	sysxsrvs	sys
class	sysnsobjs	sys
created	sysnsobjs	sys
id	sysnsobjs	sys
intprop	sysnsobjs	sys
modified	sysnsobjs	sys
name	sysnsobjs	sys
nsid	sysnsobjs	sys
status	sysnsobjs	sys
id	sysusermsgs	sys
msglangid	sysusermsgs	sys
severity	sysusermsgs	sys
status	sysusermsgs	sys
text	sysusermsgs	sys
cert	syscerts	sys
encrtype	syscerts	sys
id	syscerts	sys
issuer	syscerts	sys
lastpkeybackup	syscerts	sys
name	syscerts	sys
pkey	syscerts	sys
snum	syscerts	sys
status	syscerts	sys
thumbprint	syscerts	sys
lgnid	sysrmtlgns	sys
modate	sysrmtlgns	sys
name	sysrmtlgns	sys
srvid	sysrmtlgns	sys
status	sysrmtlgns	sys
lgnid	syslnklgns	sys
modate	syslnklgns	sys
name	syslnklgns	sys
pwdhash	syslnklgns	sys
srvid	syslnklgns	sys
status	syslnklgns	sys
class	sysxprops	sys
id	sysxprops	sys
name	sysxprops	sys
subid	sysxprops	sys
value	sysxprops	sys
chk	sysscalartypes	sys
collationid	sysscalartypes	sys
created	sysscalartypes	sys
dflt	sysscalartypes	sys
id	sysscalartypes	sys
length	sysscalartypes	sys
modified	sysscalartypes	sys
name	sysscalartypes	sys
prec	sysscalartypes	sys
scale	sysscalartypes	sys
schid	sysscalartypes	sys
status	sysscalartypes	sys
xtype	sysscalartypes	sys
class	systypedsubobjs	sys
collationid	systypedsubobjs	sys
idmajor	systypedsubobjs	sys
intprop	systypedsubobjs	sys
length	systypedsubobjs	sys
name	systypedsubobjs	sys
prec	systypedsubobjs	sys
scale	systypedsubobjs	sys
status	systypedsubobjs	sys
subid	systypedsubobjs	sys
utype	systypedsubobjs	sys
xtype	systypedsubobjs	sys
dataspace	sysidxstats	sys
fillfact	sysidxstats	sys
id	sysidxstats	sys
indid	sysidxstats	sys
intprop	sysidxstats	sys
lobds	sysidxstats	sys
name	sysidxstats	sys
rowset	sysidxstats	sys
status	sysidxstats	sys
tinyprop	sysidxstats	sys
type	sysidxstats	sys
idmajor	sysiscols	sys
idminor	sysiscols	sys
intprop	sysiscols	sys
status	sysiscols	sys
subid	sysiscols	sys
tinyprop1	sysiscols	sys
tinyprop2	sysiscols	sys
tinyprop3	sysiscols	sys
affinity	sysendpts	sys
authrealm	sysendpts	sys
authtype	sysendpts	sys
bstat	sysendpts	sys
dfltdb	sysendpts	sys
dfltdm	sysendpts	sys
dfltns	sysendpts	sys
encalg	sysendpts	sys
id	sysendpts	sys
maxconn	sysendpts	sys
name	sysendpts	sys
port1	sysendpts	sys
port2	sysendpts	sys
protocol	sysendpts	sys
pstat	sysendpts	sys
site	sysendpts	sys
tstat	sysendpts	sys
type	sysendpts	sys
typeint	sysendpts	sys
wsdlproc	sysendpts	sys
alias	syswebmethods	sys
id	syswebmethods	sys
nmspace	syswebmethods	sys
objname	syswebmethods	sys
status	syswebmethods	sys
class	sysbinobjs	sys
created	sysbinobjs	sys
id	sysbinobjs	sys
intprop	sysbinobjs	sys
modified	sysbinobjs	sys
name	sysbinobjs	sys
nsid	sysbinobjs	sys
status	sysbinobjs	sys
type	sysbinobjs	sys
audit_spec_id	sysaudacts	sys
class	sysaudacts	sys
grantee	sysaudacts	sys
id	sysaudacts	sys
state	sysaudacts	sys
subid	sysaudacts	sys
type	sysaudacts	sys
imageval	sysobjvalues	sys
objid	sysobjvalues	sys
subobjid	sysobjvalues	sys
valclass	sysobjvalues	sys
valnum	sysobjvalues	sys
value	sysobjvalues	sys
base_id	syscscolsegments	sys
column_id	syscscolsegments	sys
data_ptr	syscscolsegments	sys
encoding_type	syscscolsegments	sys
hobt_id	syscscolsegments	sys
magnitude	syscscolsegments	sys
max_data_id	syscscolsegments	sys
min_data_id	syscscolsegments	sys
null_value	syscscolsegments	sys
on_disk_size	syscscolsegments	sys
primary_dictionary_id	syscscolsegments	sys
row_count	syscscolsegments	sys
secondary_dictionary_id	syscscolsegments	sys
segment_id	syscscolsegments	sys
status	syscscolsegments	sys
version	syscscolsegments	sys
column_id	syscsdictionaries	sys
data_ptr	syscsdictionaries	sys
dictionary_id	syscsdictionaries	sys
entry_count	syscsdictionaries	sys
flags	syscsdictionaries	sys
hobt_id	syscsdictionaries	sys
last_id	syscsdictionaries	sys
on_disk_size	syscsdictionaries	sys
type	syscsdictionaries	sys
version	syscsdictionaries	sys
class	sysclsobjs	sys
created	sysclsobjs	sys
id	sysclsobjs	sys
intprop	sysclsobjs	sys
modified	sysclsobjs	sys
name	sysclsobjs	sys
status	sysclsobjs	sys
type	sysclsobjs	sys
class	sysrowsetrefs	sys
indexid	sysrowsetrefs	sys
objid	sysrowsetrefs	sys
rowsetid	sysrowsetrefs	sys
rowsetnum	sysrowsetrefs	sys
status	sysrowsetrefs	sys
id	sysremsvcbinds	sys
name	sysremsvcbinds	sys
