session_id	login_time	host_name	language	date_format
1	2014-07-04 09:14:22.663	NULL	us_english	mdy
2	2014-07-04 09:14:22.710	NULL	us_english	mdy
3	2014-07-04 09:14:22.710	NULL	us_english	mdy
4	2014-07-04 09:14:23.053	NULL	us_english	mdy
5	2014-07-04 09:14:23.070	NULL	us_english	mdy
6	2014-07-04 09:14:23.070	NULL	us_english	mdy
7	2014-07-04 09:14:23.070	NULL	us_english	mdy
8	2014-07-04 09:14:23.070	NULL	us_english	mdy
9	2014-07-04 09:14:23.070	NULL	us_english	mdy
10	2014-07-04 09:14:57.247	NULL	us_english	mdy
11	2014-07-04 09:14:23.210	NULL	us_english	mdy
12	2014-07-04 09:14:25.757	NULL	us_english	mdy
13	2014-07-04 09:14:28.100	NULL	us_english	mdy
14	2014-07-04 09:14:28.100	NULL	us_english	mdy
15	2014-07-04 09:14:28.100	NULL	us_english	mdy
16	2014-07-04 09:14:28.210	NULL	us_english	mdy
17	2014-07-04 09:14:28.600	NULL	us_english	mdy
18	2014-07-04 09:14:28.960	NULL	us_english	mdy
19	2014-07-04 09:14:29.100	NULL	us_english	mdy
20	2014-07-04 09:14:35.467	NULL	us_english	mdy
21	2014-07-04 09:15:21.027	NULL	us_english	mdy
22	2014-07-04 09:14:35.467	NULL	us_english	mdy
24	2014-07-04 09:19:02.770	NULL	us_english	mdy
25	2014-07-04 09:15:00.700	NULL	us_english	mdy
26	2014-07-04 09:16:11.107	NULL	us_english	mdy
27	2014-07-04 09:16:11.107	NULL	us_english	mdy
29	2014-07-04 09:15:05.043	NULL	us_english	mdy
30	2014-07-04 09:15:05.043	NULL	us_english	mdy
34	2014-07-04 09:15:05.043	NULL	us_english	mdy
35	2014-07-04 09:14:52.370	NULL	us_english	mdy
36	2014-07-04 09:15:05.043	NULL	us_english	mdy
39	2014-07-04 09:14:52.717	NULL	us_english	mdy
40	2014-07-04 09:14:52.717	NULL	us_english	mdy
41	2014-07-04 09:14:52.717	NULL	us_english	mdy
42	2014-07-04 09:14:52.793	NULL	us_english	mdy
43	2014-07-04 09:15:05.043	NULL	us_english	mdy
44	2014-07-04 09:15:05.043	NULL	us_english	mdy
47	2014-07-04 09:15:05.043	NULL	us_english	mdy
48	2014-07-04 09:15:05.043	NULL	us_english	mdy
49	2014-07-04 09:15:05.043	NULL	us_english	mdy
50	2014-07-04 09:15:05.043	NULL	us_english	mdy
51	2014-07-04 09:19:40.333	MIA-SQL	us_english	mdy
52	2014-07-04 09:14:48.207	MIA-SQL	us_english	mdy
53	2014-07-04 09:19:14.227	MIA-SQL	us_english	mdy
54	2014-07-04 09:15:05.043	NULL	us_english	mdy
55	2014-07-04 09:17:16.097	MIA-SQL	us_english	mdy
56	2014-07-04 09:15:05.107	NULL	us_english	mdy
57	2014-07-04 09:17:16.410	MIA-SQL	us_english	mdy
58	2014-07-04 09:19:37.567	MIA-SQL	us_english	mdy
59	2014-07-04 09:19:07.363	MIA-SQL	us_english	mdy
60	2014-07-04 09:15:09.403	MIA-SQL	us_english	mdy
61	2014-07-04 09:19:37.567	MIA-SQL	us_english	mdy
62	2014-07-04 09:17:39.477	MIA-SQL	us_english	mdy
63	2014-07-04 09:19:17.007	MIA-SQL	us_english	mdy
64	2014-07-04 09:19:17.633	MIA-SQL	us_english	mdy
